EMERGE_sampleID,SampleID_old__,SampleID,Month,Habitat,Samplenumber,Depth,Year,Sampletype,Repetition,DepthMin,DepthMax,DepthAvg,T_soil,C_percent,N_percent,d13C_peat,d15N_peat,pH_porewater,CH4.mM__,CO2.mM__
MainAutochamber.201206_E_1_1to4,201206_E1_01-04,June_E_1_S_12_so_R1,June,Fen,1,S,2012,solid,1,1,4,2.5,7.8,48.843,1.545,-27.38498,2.5227,5.1,NA,NA
MainAutochamber.201206_E_1_11to14,201206_E1_11-14,June_E_1_D_12_so_R1,June,Fen,1,D,2012,solid,1,11,14,12.5,1.4,41.556,1.093,-25.8679,1.5989625,5.6,0.34381009,2.187534916
NA,NA,June_E_2_S_12_so_R2,June,Fen,2,S,2012,solid,2,1,4,2.5,7.6,41.553,2.034,-28.06786,3.357485,NA,NA,NA
MainAutochamber.201206_E_2_1to4,201206_E2_01-04,June_E_2_S_12_so_R1,June,Fen,2,S,2012,solid,1,1,4,2.5,7.6,41.553,2.034,-28.06786,3.357485,5.7,NA,NA
NA,NA,June_E_2_M_12_so_R2,June,Fen,2,M,2012,solid,2,5,8,6.5,7,38.179,2.085,-27.72545,3.6299967,NA,NA,NA
MainAutochamber.201206_E_2_5to8,201206_E2_05-08,June_E_2_M_12_so_R1,June,Fen,2,M,2012,solid,1,5,8,6.5,7,38.179,2.085,-27.72545,3.6299967,5.8,0.071259878,0.690190433
MainAutochamber.201206_E_2_12to15,201206_E2_12-15,June_E_2_D_12_so_R1,June,Fen,2,D,2012,solid,1,12,15,13.5,1.6,40.808,1.616,-26.6245,2.1341282,5.5,0.623430848,1.778484926
MainAutochamber.201206_E_3_1to4,201206_E3_01-04,June_E_3_S_12_so_R1,June,Fen,3,S,2012,solid,1,1,4,2.5,6.9,42.417,1.984,-26.762725,3.748370633,5.5,NA,NA
MainAutochamber.201206_E_3_5to8,201206_E3_05-08,June_E_3_M_12_so_R1,June,Fen,3,M,2012,solid,1,5,8,6.5,3.6,51.499,1.562,-26.20158,1.253905,5.6,0.297296558,2.016818633
NA,NA,June_E_3_D_12_so_R2,June,Fen,3,D,2012,solid,2,11,14,12.5,1,38.662,1.005,-25.04534,0.82576,NA,NA,NA
MainAutochamber.201206_E_3_11to14,201206_E3_11-14,June_E_3_D_12_so_R1,June,Fen,3,D,2012,solid,1,11,14,12.5,1,38.662,1.005,-25.04534,0.82576,5.6,0.650763362,1.63405744
MainAutochamber.201207_E_1_5to8,201207_E1_05-08,July_E_1_M_12_so_R2,July,Fen,1,M,2012,solid,2,5,8,6.5,12,42.424,0.826,-25.3593575,1.84665115,5.8,0.01899387,0.966112096
NA,NA,July_E_1_D_12_so_R2,July,Fen,1,D,2012,solid,2,24,27,25.5,12.3,44.862,1.338,-25.9387111,1.928954433,NA,NA,NA
MainAutochamber.201207_E_1_24to27,201207_E1_24-27,July_E_1_D_12_so_R1,July,Fen,1,D,2012,solid,1,24,27,25.5,12.3,44.862,1.338,-25.9387111,1.928954433,5.7,0.032601045,1.073331768
MainAutochamber.201207_E_2_24to27,201207_E2_24-27,July_E_2_D_12_so_R1,July,Fen,2,D,2012,solid,1,24,27,25.5,9.3,43.9,1.059,-24.74383025,-0.2257034,5.6,0.314501172,2.220846002
MainAutochamber.201207_E_3_1to4,201207_E3_01-04,July_E_3_S_12_so_R1,July,Fen,3,S,2012,solid,1,1,4,2.5,12.7,39.321,1.298,-26.66981745,2.325159967,6,0.040335575,0.827464407
MainAutochamber.201207_E_3_24to27,201207_E3_24-27,July_E_3_D_12_so_R1,July,Fen,3,D,2012,solid,1,24,27,25.5,12.2,42.469,0.985,-24.665219,-0.199684667,5.9,0.10860954,1.291257672
MainAutochamber.201208_E_1_1to4,201208_E1_01-04,Aug_E_1_S_12_so_R1,August,Fen,1,S,2012,solid,1,1,4,2.5,9.9,42.702,1.319,-26.4797533,1.7537469,5.7,NA,NA
MainAutochamber.201208_E_1_5to8,201208_E1_05-08,Aug_E_1_M_12_so_R1,August,Fen,1,M,2012,solid,1,5,8,6.5,9.8,41.056,1.359,-26.419834,1.8412072,5.7,0.377829355,5.092348756
MainAutochamber.201208_E_1_24to27,201208_E1_24-27,Aug_E_1_D_12_so_R1,August,Fen,1,D,2012,solid,1,24,27,25.5,9.8,45.883,1.044,-24.9608466,2.3738306,5.5,0.67326597,4.239668279
MainAutochamber.201208_E_2_1to4,201208_E2_01-04,Aug_E_2_S_12_so_R1,August,Fen,2,S,2012,solid,1,1,4,2.5,10.2,39.834,1.822,-26.3285284,2.8926962,5.7,NA,NA
MainAutochamber.201208_E_2_5to8,201208_E2_05-08,Aug_E_2_M_12_so_R1,August,Fen,2,M,2012,solid,1,5,8,6.5,9.6,37.351,1.973,-26.21677415,3.0548417,5.6,0.24171959,3.571038251
MainAutochamber.201208_E_2_24to27,201208_E2_24-27,Aug_E_2_D_12_so_R1,August,Fen,2,D,2012,solid,1,24,27,25.5,9.1,15.114,1.106,-27.6924058,0.82313,5.7,0.476053436,4.140801535
MainAutochamber.201208_E_3_1to4,201208_E3_01-04,Aug_E_3_S_12_so_R1,August,Fen,3,S,2012,solid,1,1,4,2.5,10.9,38.588,2,-27.104626,4.144656,6.2,0.067352014,1.064801123
NA,NA,Aug_E_3_M_12_so_R2,August,Fen,3,M,2012,solid,2,5,8,6.5,10.9,42.372,2.092,-26.9343791,4.0355763,NA,NA,NA
MainAutochamber.201208_E_3_5to8,201208_E3_05-08,Aug_E_3_M_12_so_R1,August,Fen,3,M,2012,solid,1,5,8,6.5,10.9,42.372,2.092,-26.9343791,4.0355763,5.9,0.124015723,1.610443588
